symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
BTCUSDT,SHORT,2025-06-18 20:45:00+00:00,2025-06-18 21:55:00+00:00,104810.6,105033.69714285714,0.010085,105033.69714285714,104029.76000000001,-6.7498,1.164,-7.9138,LOSS,292.0862,70.88,51.79,BEARISH,0.5
BTCUSDT,LONG,2025-06-25 15:30:00+00:00,2025-06-25 19:10:00+00:00,106749.9,107640.06,0.008613,106495.56857142856,107640.06,23.0008,1.0156,21.9852,WIN,314.0715,25.46,67.3,BULLISH,0.5
BTCUSDT,LONG,2025-07-09 14:35:00+00:00,2025-07-09 18:10:00+00:00,108560.0,109493.57,0.008831,108293.26571428572,109493.57,24.7331,1.0591,23.674,WIN,337.7455,20.33,45.78,BULLISH,0.5
BTCUSDT,SHORT,2025-07-15 16:40:00+00:00,2025-07-15 18:35:00+00:00,117695.0,116370.55999999998,0.006694,118073.41142857143,116370.55999999998,26.5974,0.8618,25.7356,WIN,363.4811,75.68,25.33,BEARISH,0.5
BTCUSDT,LONG,2025-07-17 20:00:00+00:00,2025-07-17 20:05:00+00:00,118793.7,118570.08857142857,0.012191,118570.08857142857,119576.34,-8.1781,1.5915,-9.7697,LOSS,353.7114,19.28,53.06,BULLISH,0.5
BTCUSDT,LONG,2025-07-17 20:05:00+00:00,2025-07-17 20:35:00+00:00,118517.9,119362.09999999999,0.010998,118276.7,119362.09999999999,27.8535,1.4389,26.4146,WIN,380.1261,16.1,56.79,BULLISH,0.5
BTCUSDT,LONG,2025-07-22 14:00:00+00:00,2025-07-22 14:55:00+00:00,117738.1,119122.59999999999,0.007207,117342.52857142859,119122.59999999999,29.9343,0.9389,28.9954,WIN,409.1214,23.18,54.31,BULLISH,0.5
BTCUSDT,SHORT,2025-08-18 16:00:00+00:00,2025-08-18 17:25:00+00:00,116221.0,116439.96571428572,0.014013,116439.96571428572,115454.62,-9.2051,1.7932,-10.9983,LOSS,398.1232,78.82,40.96,BEARISH,0.5
BTCUSDT,SHORT,2025-08-26 18:35:00+00:00,2025-08-26 18:40:00+00:00,110624.6,110815.82857142857,0.015614,110815.82857142857,109955.30000000002,-8.9575,1.9017,-10.8592,LOSS,387.264,81.29,42.27,BEARISH,0.5
BTCUSDT,SHORT,2025-08-26 18:40:00+00:00,2025-08-26 19:20:00+00:00,110879.4,111086.61428571428,0.014017,111086.61428571428,110154.15000000001,-8.7136,1.7112,-10.4248,LOSS,376.8392,87.32,40.91,BEARISH,0.5
BTCUSDT,LONG,2025-10-01 17:50:00+00:00,2025-10-01 22:00:00+00:00,116792.4,117649.29,0.011544,116547.57428571428,117649.29,29.6758,1.4885,28.1873,WIN,405.0265,24.02,25.22,BULLISH,0.5
BTCUSDT,SHORT,2025-10-08 08:40:00+00:00,2025-10-08 10:40:00+00:00,122797.5,123071.76857142858,0.022151,123071.76857142858,121837.56,-18.226,2.9954,-21.2214,LOSS,383.8051,78.34,13.48,BEARISH,1.0
BTCUSDT,SHORT,2025-10-12 14:50:00+00:00,2025-10-12 15:05:00+00:00,112938.1,113341.23142857144,0.00714,113341.23142857144,111527.14000000001,-8.6351,0.8886,-9.5237,LOSS,374.2814,70.72,72.06,BEARISH,0.5
BTCUSDT,LONG,2025-10-20 16:40:00+00:00,2025-10-20 17:35:00+00:00,110449.7,110055.24285714285,0.007116,110055.24285714285,111830.3,-8.4209,0.863,-9.2839,LOSS,364.9976,27.74,47.6,BULLISH,0.5
BTCUSDT,LONG,2025-10-21 17:15:00+00:00,2025-10-21 18:35:00+00:00,111882.3,111370.36285714286,0.005347,111370.36285714286,113674.08000000002,-8.212,0.6566,-8.8685,LOSS,356.129,29.81,48.25,BULLISH,0.5
BTCUSDT,LONG,2025-10-21 20:15:00+00:00,2025-10-21 21:20:00+00:00,110766.1,110436.85428571429,0.008112,110436.85428571429,111918.46000000002,-8.0125,0.9869,-8.9994,LOSS,347.1296,21.02,68.24,BULLISH,0.5
BTCUSDT,LONG,2025-10-23 20:55:00+00:00,2025-10-24 00:15:00+00:00,109447.1,110310.32,0.010556,109200.46571428572,110310.32,27.3365,1.2759,26.0606,WIN,373.1902,17.36,78.67,BULLISH,0.5
BTCUSDT,SHORT,2025-11-04 11:35:00+00:00,2025-11-04 13:25:00+00:00,104569.5,103581.72,0.009917,104851.72285714286,103581.72,29.3874,1.1353,28.2521,WIN,401.4423,81.38,36.63,BEARISH,0.5
BTCUSDT,LONG,2025-11-10 14:45:00+00:00,2025-11-10 14:50:00+00:00,105171.5,104882.97714285714,0.010435,104882.97714285714,106181.33,-9.0322,1.2056,-10.2378,LOSS,391.2045,14.45,50.47,BULLISH,0.5
BTCUSDT,LONG,2025-11-10 14:50:00+00:00,2025-11-10 17:45:00+00:00,104670.0,105813.42,0.008981,104343.30857142857,105813.42,30.8072,1.0397,29.7675,WIN,420.972,11.66,55.08,BULLISH,0.5
BTCUSDT,SHORT,2025-11-16 18:10:00+00:00,2025-11-16 21:05:00+00:00,95155.4,93734.29999999999,0.007776,95561.42857142857,93734.29999999999,33.1514,0.8078,32.3436,WIN,453.3156,73.41,50.53,BEARISH,0.5
BTCUSDT,SHORT,2025-11-26 14:10:00+00:00,2025-11-26 14:40:00+00:00,87274.5,87477.15428571429,0.016777,87477.15428571429,86565.20999999999,-10.1998,1.6125,-11.8123,LOSS,441.5033,76.59,35.18,BEARISH,0.5
BTCUSDT,LONG,2025-12-02 20:25:00+00:00,2025-12-02 22:50:00+00:00,90936.2,91921.1,0.023534,90654.79999999999,91921.1,69.5359,2.3669,67.1691,WIN,508.6723,25.76,24.11,BULLISH,1.0
BTCUSDT,LONG,2025-12-03 14:00:00+00:00,2025-12-03 14:35:00+00:00,91700.0,92730.08000000002,0.025925,91405.69142857143,92730.08000000002,80.1145,2.6297,77.4847,WIN,586.1571,23.28,23.19,BULLISH,1.0
BTCUSDT,SHORT,2025-12-07 15:55:00+00:00,2025-12-07 16:55:00+00:00,89510.2,89855.30285714286,0.012739,89855.30285714286,88302.34,-13.1888,1.2567,-14.4455,LOSS,571.7115,77.3,27.79,BEARISH,0.5
BTCUSDT,LONG,2025-12-09 20:20:00+00:00,2025-12-09 21:45:00+00:00,92874.2,92596.83714285714,0.015459,92596.83714285714,93844.96999999999,-12.8633,1.577,-14.4402,LOSS,557.2713,22.14,59.34,BULLISH,0.5
BTCUSDT,SHORT,2025-12-11 18:40:00+00:00,2025-12-11 19:35:00+00:00,91121.5,91393.79714285715,0.030698,91393.79714285715,90168.45999999999,-25.0769,3.0816,-28.1585,LOSS,529.1128,83.05,16.11,BEARISH,1.0
BTCUSDT,SHORT,2025-12-17 15:05:00+00:00,2025-12-17 15:50:00+00:00,89750.1,87704.09999999999,0.006788,90334.67142857144,87704.09999999999,41.6647,0.6625,41.0022,WIN,570.1151,82.23,27.95,BEARISH,0.5
BTCUSDT,SHORT,2025-12-23 16:00:00+00:00,2025-12-24 05:45:00+00:00,88052.1,86753.58,0.011525,88423.10571428572,86753.58,44.8963,1.108,43.7883,WIN,613.9033,77.35,46.68,BEARISH,0.5
BTCUSDT,LONG,2025-12-30 17:45:00+00:00,2025-12-30 19:05:00+00:00,88221.1,88017.16857142857,0.022578,88017.16857142857,88934.86,-13.8131,2.1885,-16.0016,LOSS,597.9017,27.01,66.57,BULLISH,0.5
BTCUSDT,LONG,2026-01-15 14:40:00+00:00,2026-01-15 15:45:00+00:00,95769.4,95493.17714285714,0.032468,95493.17714285714,96736.18,-26.9052,3.4155,-30.3207,LOSS,567.5811,29.91,24.19,BULLISH,1.0
BTCUSDT,SHORT,2026-01-21 14:30:00+00:00,2026-01-21 15:10:00+00:00,89904.0,90288.84857142858,0.011061,90288.84857142858,88557.03,-12.7704,1.0962,-13.8666,LOSS,553.7144,73.77,31.99,BEARISH,0.5
BTCUSDT,LONG,2026-01-28 15:05:00+00:00,2026-01-28 15:10:00+00:00,89364.0,89111.42571428571,0.016442,89111.42571428571,90248.01000000001,-12.4585,1.614,-14.0725,LOSS,539.642,22.36,43.43,BULLISH,0.5
