symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
ETHUSDT,SHORT,2025-06-17 18:55:00+00:00,2025-06-17 19:00:00+00:00,2495.9,2504.438857142857,0.263501,2504.438857142857,2466.014,-6.75,0.7247,-7.4747,LOSS,292.5253,76.42,60.93,BEARISH,0.5
ETHUSDT,SHORT,2025-06-18 08:10:00+00:00,2025-06-18 10:00:00+00:00,2542.03,2520.097,0.350102,2548.2965714285715,2520.097,23.0364,0.9747,22.0616,WIN,314.5869,74.03,48.42,BEARISH,0.5
ETHUSDT,SHORT,2025-06-22 11:15:00+00:00,2025-06-22 12:05:00+00:00,2275.67,2283.0662857142856,0.318998,2283.0662857142856,2249.783,-7.0782,0.7998,-7.878,LOSS,306.7089,84.51,63.21,BEARISH,0.5
ETHUSDT,SHORT,2025-06-23 14:00:00+00:00,2025-06-23 15:50:00+00:00,2306.36,2248.8830000000003,0.280151,2322.782,2248.8830000000003,48.3067,0.7019,47.6048,WIN,354.3138,70.96,14.9,BEARISH,1.0
ETHUSDT,LONG,2025-06-26 09:10:00+00:00,2025-06-26 09:50:00+00:00,2468.32,2461.251142857143,0.375924,2461.251142857143,2493.061,-7.9721,1.0192,-8.9913,LOSS,345.3225,15.31,62.75,BULLISH,0.5
ETHUSDT,LONG,2025-07-06 18:40:00+00:00,2025-07-06 20:05:00+00:00,2526.95,2544.3379999999997,0.52132,2521.982,2544.3379999999997,27.1941,1.4541,25.7401,WIN,371.0625,14.53,63.44,BULLISH,0.5
ETHUSDT,LONG,2025-07-17 11:30:00+00:00,2025-07-17 12:05:00+00:00,3433.8,3420.9480000000003,0.21654,3420.9480000000003,3478.782,-8.3489,0.8164,-9.1653,LOSS,361.8972,20.24,34.72,BULLISH,0.5
ETHUSDT,LONG,2025-07-17 16:30:00+00:00,2025-07-17 18:05:00+00:00,3376.58,3432.413,0.170147,3360.6277142857143,3432.413,28.4995,0.6372,27.8623,WIN,389.7595,27.33,72.07,BULLISH,0.5
ETHUSDT,LONG,2025-07-17 20:05:00+00:00,2025-07-17 21:00:00+00:00,3375.29,3428.129,0.193629,3360.193142857143,3428.129,30.6935,0.7245,29.969,WIN,419.7284,25.48,29.14,BULLISH,0.5
ETHUSDT,LONG,2025-07-21 16:05:00+00:00,2025-07-21 16:10:00+00:00,3799.41,3782.886,0.190509,3782.886,3857.244,-9.4439,0.7945,-10.2384,LOSS,409.4901,25.05,30.56,BULLISH,0.5
ETHUSDT,LONG,2025-07-21 16:10:00+00:00,2025-07-21 16:15:00+00:00,3787.0,3769.020571428571,0.170816,3769.020571428571,3849.928,-9.2135,0.7099,-9.9234,LOSS,399.5667,22.21,32.91,BULLISH,0.5
ETHUSDT,LONG,2025-07-21 16:15:00+00:00,2025-07-21 17:40:00+00:00,3765.0,3745.0705714285714,0.150368,3745.0705714285714,3834.753,-8.9902,0.6211,-9.6113,LOSS,389.9553,17.98,35.46,BULLISH,0.5
ETHUSDT,SHORT,2025-07-22 11:45:00+00:00,2025-07-22 13:30:00+00:00,3719.4,3676.6110000000003,0.478456,3731.6254285714285,3676.6110000000003,61.418,1.9463,59.4717,WIN,449.427,71.08,9.17,BEARISH,1.0
ETHUSDT,SHORT,2025-07-23 15:55:00+00:00,2025-07-23 16:35:00+00:00,3645.17,3590.2580000000003,0.214843,3660.859142857143,3590.2580000000003,35.3924,0.855,34.5374,WIN,483.9644,73.41,39.46,BEARISH,0.5
ETHUSDT,SHORT,2025-08-03 11:05:00+00:00,2025-08-03 11:10:00+00:00,3493.26,3500.0991428571433,1.061459,3500.0991428571433,3469.323,-21.7784,4.0827,-25.8611,LOSS,458.1033,84.29,9.09,BEARISH,1.0
ETHUSDT,SHORT,2025-08-03 11:10:00+00:00,2025-08-03 11:35:00+00:00,3514.56,3486.1139999999996,0.845476,3522.6874285714284,3486.1139999999996,72.1512,3.2554,68.8958,WIN,526.9991,88.88,9.57,BEARISH,1.0
ETHUSDT,LONG,2025-08-06 08:40:00+00:00,2025-08-06 09:15:00+00:00,3610.87,3643.756,0.420657,3601.4739999999997,3643.756,41.5012,1.6784,39.8227,WIN,566.8218,24.86,53.47,BULLISH,0.5
ETHUSDT,LONG,2025-08-10 08:00:00+00:00,2025-08-10 08:35:00+00:00,4163.15,4215.098,0.286422,4148.307714285714,4215.098,44.6372,1.3198,43.3173,WIN,610.1392,19.57,54.67,BULLISH,0.5
ETHUSDT,LONG,2025-08-10 20:20:00+00:00,2025-08-10 21:00:00+00:00,4213.92,4202.278285714286,0.393073,4202.278285714286,4254.665999999999,-13.7281,1.8195,-15.5476,LOSS,594.5915,29.08,25.81,BULLISH,0.5
ETHUSDT,LONG,2025-08-11 08:00:00+00:00,2025-08-11 10:15:00+00:00,4257.41,4243.382857142857,0.317915,4243.382857142857,4306.504999999999,-13.3783,1.4864,-14.8647,LOSS,579.7268,22.14,55.02,BULLISH,0.5
ETHUSDT,LONG,2025-08-11 17:15:00+00:00,2025-08-11 19:50:00+00:00,4284.69,4262.249142857143,0.193752,4262.249142857143,4363.232999999999,-13.0439,0.9108,-13.9547,LOSS,565.7721,24.9,33.1,BULLISH,0.5
ETHUSDT,LONG,2025-08-17 16:50:00+00:00,2025-08-17 18:50:00+00:00,4505.96,4490.2005714285715,0.269254,4490.2005714285715,4561.118,-12.7299,1.3322,-14.0621,LOSS,551.71,16.67,56.88,BULLISH,0.5
