symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
SOLUSDT,SHORT,2025-06-17 18:55:00+00:00,2025-06-17 19:00:00+00:00,148.07,148.6202857142857,4.088785,148.6202857142857,146.14399999999998,-6.75,0.6672,-7.4172,LOSS,292.5828,77.35,43.15,BEARISH,0.5
SOLUSDT,SHORT,2025-06-18 20:45:00+00:00,2025-06-18 22:25:00+00:00,147.2,147.84714285714284,3.39086,147.84714285714284,144.93499999999997,-6.5831,0.5503,-7.1334,LOSS,285.4494,71.09,37.78,BEARISH,0.5
SOLUSDT,SHORT,2025-06-19 18:05:00+00:00,2025-06-19 22:05:00+00:00,145.66,146.26771428571428,3.522824,146.26771428571428,143.53300000000002,-6.4226,0.5656,-6.9882,LOSS,278.4612,84.18,34.77,BEARISH,0.5
SOLUSDT,SHORT,2025-06-22 17:10:00+00:00,2025-06-22 20:05:00+00:00,130.64,127.64299999999999,2.438974,131.4962857142857,127.64299999999999,21.9288,0.3465,21.5823,WIN,300.0435,70.31,37.13,BEARISH,0.5
SOLUSDT,LONG,2025-06-25 15:15:00+00:00,2025-06-25 16:35:00+00:00,143.88,143.0202857142857,2.617528,143.0202857142857,146.88899999999998,-6.751,0.413,-7.164,LOSS,292.8795,22.22,60.82,BULLISH,0.5
SOLUSDT,SHORT,2025-06-26 20:35:00+00:00,2025-06-26 20:40:00+00:00,143.33,143.79885714285714,9.370003,143.79885714285714,141.689,-13.1796,1.4797,-14.6593,LOSS,278.2202,75.68,10.08,BEARISH,1.0
SOLUSDT,SHORT,2025-06-26 20:40:00+00:00,2025-06-26 21:05:00+00:00,143.82,142.07999999999998,8.394576,144.31714285714284,142.07999999999998,43.8197,1.32,42.4997,WIN,320.7199,77.64,8.71,BEARISH,1.0
SOLUSDT,LONG,2025-06-29 16:40:00+00:00,2025-06-29 18:15:00+00:00,149.9,151.433,5.491779,149.46200000000002,151.433,25.2567,0.9102,24.3465,WIN,345.0664,27.19,72.14,BULLISH,0.5
SOLUSDT,LONG,2025-07-06 18:45:00+00:00,2025-07-06 19:35:00+00:00,151.05,150.6814285714286,7.021701,150.6814285714286,152.34,-7.764,1.1653,-8.9293,LOSS,336.1372,17.49,51.08,BULLISH,0.5
SOLUSDT,LONG,2025-07-13 17:00:00+00:00,2025-07-13 17:50:00+00:00,160.7,162.569,4.721028,160.166,162.569,26.4708,0.8394,25.6314,WIN,361.7686,22.22,98.2,BULLISH,0.5
SOLUSDT,LONG,2025-07-17 16:30:00+00:00,2025-07-17 17:55:00+00:00,171.46,174.26800000000003,3.381918,170.6577142857143,174.26800000000003,28.4893,0.6431,27.8462,WIN,389.6148,25.05,91.49,BULLISH,0.5
SOLUSDT,LONG,2025-07-17 20:00:00+00:00,2025-07-17 20:05:00+00:00,172.39,171.7462857142857,4.539453,171.7462857142857,174.643,-8.7663,0.8592,-9.6255,LOSS,379.9892,22.25,40.0,BULLISH,0.5
SOLUSDT,LONG,2025-07-17 20:05:00+00:00,2025-07-17 21:00:00+00:00,171.43,173.896,4.044898,170.72542857142858,173.896,29.9242,0.7682,29.1559,WIN,409.1452,16.36,43.9,BULLISH,0.5
SOLUSDT,LONG,2025-07-20 14:50:00+00:00,2025-07-20 15:00:00+00:00,180.95,180.28314285714285,4.601568,180.28314285714285,183.284,-9.2058,0.9142,-10.12,LOSS,399.0252,21.61,48.08,BULLISH,0.5
SOLUSDT,LONG,2025-07-20 15:00:00+00:00,2025-07-20 16:10:00+00:00,180.63,182.94,4.534377,179.97,182.94,31.4232,0.9067,30.5165,WIN,429.5417,9.62,60.77,BULLISH,0.5
SOLUSDT,LONG,2025-07-22 08:25:00+00:00,2025-07-22 11:45:00+00:00,194.65,199.68400000000003,2.239863,193.2117142857143,199.68400000000003,33.8264,0.4858,33.3406,WIN,462.8823,22.76,43.39,BULLISH,0.5
SOLUSDT,LONG,2025-07-22 14:00:00+00:00,2025-07-22 15:10:00+00:00,197.66,204.27800000000002,1.836002,195.76914285714284,204.27800000000002,36.452,0.4059,36.0461,WIN,498.9284,27.37,33.4,BULLISH,0.5
SOLUSDT,SHORT,2025-07-24 15:00:00+00:00,2025-07-24 15:10:00+00:00,190.31,191.732,2.631479,191.732,185.333,-11.2259,0.5529,-11.7788,LOSS,487.1496,78.49,43.23,BEARISH,0.5
SOLUSDT,SHORT,2025-07-30 14:50:00+00:00,2025-07-30 18:45:00+00:00,180.08,177.35600000000002,9.388896,180.85828571428573,177.35600000000002,76.7261,1.8458,74.8803,WIN,562.0299,86.09,12.38,BEARISH,1.0
SOLUSDT,SHORT,2025-07-31 16:35:00+00:00,2025-07-31 17:50:00+00:00,179.5,176.839,11.088526,180.26028571428571,176.839,88.5197,2.1732,86.3465,WIN,648.3764,79.26,19.85,BEARISH,1.0
SOLUSDT,SHORT,2025-08-03 11:10:00+00:00,2025-08-03 11:35:00+00:00,162.8,161.747,16.163229,163.10085714285717,161.747,51.0596,2.8852,48.1745,WIN,696.5509,84.51,29.09,BEARISH,0.5
SOLUSDT,LONG,2025-08-07 14:05:00+00:00,2025-08-07 14:30:00+00:00,170.53,169.92057142857144,8.57218,169.92057142857144,172.66299999999998,-15.6724,1.6051,-17.2775,LOSS,679.2734,19.87,56.06,BULLISH,0.5
SOLUSDT,LONG,2025-08-07 16:40:00+00:00,2025-08-07 16:45:00+00:00,168.48,167.9322857142857,9.301474,167.9322857142857,170.397,-15.2837,1.721,-17.0047,LOSS,662.2687,26.92,79.17,BULLISH,0.5
SOLUSDT,LONG,2025-08-10 08:00:00+00:00,2025-08-10 09:45:00+00:00,177.49,180.69400000000002,5.42589,176.57457142857143,180.69400000000002,52.1537,1.0689,51.0847,WIN,713.3534,23.12,70.85,BULLISH,0.5
SOLUSDT,LONG,2025-08-11 08:00:00+00:00,2025-08-11 08:55:00+00:00,182.34,184.584,8.344709,181.69885714285715,184.584,56.1766,1.684,54.4926,WIN,767.846,20.1,80.66,BULLISH,0.5
SOLUSDT,SHORT,2025-08-11 16:00:00+00:00,2025-08-11 16:40:00+00:00,181.19,178.63699999999997,7.895009,181.91942857142857,178.63699999999997,60.4679,1.5625,58.9054,WIN,826.7514,72.48,48.54,BEARISH,0.5
SOLUSDT,LONG,2025-08-21 09:00:00+00:00,2025-08-21 10:25:00+00:00,184.5,183.86914285714286,9.828906,183.86914285714286,186.70800000000003,-18.6019,1.9914,-20.5933,LOSS,806.1581,16.16,74.54,BULLISH,0.5
SOLUSDT,SHORT,2025-08-26 16:55:00+00:00,2025-08-26 18:25:00+00:00,193.54,194.36114285714285,7.363135,194.36114285714285,190.66600000000003,-18.1386,1.5709,-19.7094,LOSS,786.4487,85.98,40.09,BEARISH,0.5
SOLUSDT,LONG,2025-08-28 15:45:00+00:00,2025-08-28 16:55:00+00:00,210.35,209.08742857142857,4.671708,209.08742857142857,214.769,-17.6951,1.0777,-18.7728,LOSS,767.6759,22.06,65.66,BULLISH,0.5
SOLUSDT,LONG,2025-09-03 09:10:00+00:00,2025-09-03 11:10:00+00:00,208.26,210.702,16.504088,207.5622857142857,210.702,120.9089,3.803,117.1059,WIN,884.7818,28.27,13.46,BULLISH,1.0
SOLUSDT,LONG,2025-09-03 16:40:00+00:00,2025-09-03 18:45:00+00:00,209.69,209.00428571428571,9.677301,209.00428571428571,212.08999999999997,-19.9076,2.2285,-22.1361,LOSS,862.6457,21.94,49.19,BULLISH,0.5
SOLUSDT,LONG,2025-09-03 18:45:00+00:00,2025-09-04 00:05:00+00:00,208.72,211.09599999999998,9.530492,208.04114285714286,211.09599999999998,67.9333,2.2006,65.7328,WIN,928.3785,27.65,59.46,BULLISH,0.5
SOLUSDT,LONG,2025-09-14 11:40:00+00:00,2025-09-14 12:50:00+00:00,245.44,244.7817142857143,10.577229,244.7817142857143,247.744,-20.8885,2.8519,-23.7404,LOSS,904.6381,21.74,33.74,BULLISH,0.5
SOLUSDT,LONG,2025-09-14 14:20:00+00:00,2025-09-14 14:35:00+00:00,243.41,242.40885714285713,6.77704,242.40885714285713,246.914,-20.3544,1.8108,-22.1652,LOSS,882.4729,29.83,89.79,BULLISH,0.5
SOLUSDT,LONG,2025-09-14 18:55:00+00:00,2025-09-14 19:00:00+00:00,244.48,243.6742857142857,8.214508,243.6742857142857,247.3,-19.8556,2.2055,-22.0611,LOSS,860.4118,15.42,58.73,BULLISH,0.5
SOLUSDT,SHORT,2025-09-24 14:45:00+00:00,2025-09-24 14:50:00+00:00,214.92,215.898,6.59825,215.898,211.49699999999999,-19.3593,1.5635,-20.9227,LOSS,839.4891,76.34,65.98,BEARISH,0.5
SOLUSDT,SHORT,2025-09-25 14:15:00+00:00,2025-09-25 17:05:00+00:00,202.87,198.238,4.757467,204.19342857142857,198.238,66.1098,1.0495,65.0602,WIN,904.5493,80.75,61.62,BEARISH,0.5
SOLUSDT,LONG,2025-09-29 11:00:00+00:00,2025-09-29 12:50:00+00:00,206.18,205.62628571428573,12.252022,205.62628571428573,208.118,-20.3524,2.775,-23.1274,LOSS,881.4219,24.78,77.51,BULLISH,0.5
SOLUSDT,LONG,2025-09-29 17:00:00+00:00,2025-09-29 19:10:00+00:00,207.96,211.257,7.017691,207.018,211.257,69.412,1.6181,67.7939,WIN,949.2159,29.76,52.59,BULLISH,0.5
SOLUSDT,LONG,2025-10-01 17:10:00+00:00,2025-10-01 17:50:00+00:00,218.49,217.80685714285715,10.421128,217.80685714285715,220.88100000000003,-21.3574,2.5007,-23.858,LOSS,925.3578,28.8,50.96,BULLISH,0.5
SOLUSDT,LONG,2025-10-01 17:50:00+00:00,2025-10-01 19:45:00+00:00,217.49,220.19,8.996534,216.71857142857144,220.19,72.8719,2.1657,70.7062,WIN,996.0641,25.91,58.8,BULLISH,0.5
SOLUSDT,LONG,2025-10-02 15:00:00+00:00,2025-10-02 15:50:00+00:00,222.87,226.734,6.766739,221.766,226.734,78.44,1.6733,76.7667,WIN,1072.8308,15.83,51.3,BULLISH,0.5
SOLUSDT,LONG,2025-10-05 09:35:00+00:00,2025-10-05 09:40:00+00:00,233.77,233.03457142857144,10.940873,233.03457142857144,236.344,-24.1387,2.809,-26.9477,LOSS,1045.8831,21.5,70.58,BULLISH,0.5
SOLUSDT,LONG,2025-10-05 09:40:00+00:00,2025-10-05 09:45:00+00:00,232.95,232.2,10.458831,232.2,235.575,-23.5324,2.6757,-26.2081,LOSS,1019.675,20.49,73.71,BULLISH,0.5
SOLUSDT,SHORT,2025-10-08 08:30:00+00:00,2025-10-08 13:00:00+00:00,221.93,222.614,11.180647,222.614,219.536,-22.9427,2.7337,-25.6763,LOSS,993.9987,79.78,26.62,BEARISH,0.5
SOLUSDT,SHORT,2025-10-12 14:45:00+00:00,2025-10-12 14:50:00+00:00,184.77,186.2117142857143,5.170921,186.2117142857143,179.724,-22.365,1.0551,-23.42,LOSS,970.5786,79.98,64.59,BEARISH,0.5
SOLUSDT,SHORT,2025-10-14 14:15:00+00:00,2025-10-14 15:50:00+00:00,198.01,199.85285714285715,7.900059,199.85285714285715,191.55999999999997,-43.676,1.7287,-45.4048,LOSS,925.1739,79.06,20.91,BEARISH,1.0
SOLUSDT,LONG,2025-10-15 11:15:00+00:00,2025-10-15 13:05:00+00:00,202.18,201.09485714285717,6.394369,201.09485714285717,205.97799999999998,-20.8164,1.4183,-22.2347,LOSS,902.9392,18.32,67.44,BULLISH,0.5
SOLUSDT,LONG,2025-10-21 20:15:00+00:00,2025-10-21 21:15:00+00:00,191.7,190.83942857142856,7.869241,190.83942857142856,194.712,-20.3161,1.6557,-21.9718,LOSS,880.9674,25.72,49.05,BULLISH,0.5
SOLUSDT,LONG,2025-10-23 20:55:00+00:00,2025-10-23 23:20:00+00:00,188.71,191.18200000000002,9.354933,188.0037142857143,191.18200000000002,69.3762,1.9546,67.4216,WIN,948.389,18.18,74.85,BULLISH,0.5
SOLUSDT,LONG,2025-10-27 08:25:00+00:00,2025-10-27 09:00:00+00:00,200.11,199.32228571428573,9.029819,199.32228571428573,202.86700000000002,-21.3388,1.9837,-23.3225,LOSS,925.0665,11.6,74.16,BULLISH,0.5
SOLUSDT,SHORT,2025-11-05 15:40:00+00:00,2025-11-05 16:45:00+00:00,159.63,160.66371428571426,6.711718,160.66371428571426,156.012,-20.814,1.1823,-21.9963,LOSS,903.0701,72.77,62.26,BEARISH,0.5
