entry_time,exit_time,hora_entrada,dia_entrada,side,entry_price,exit_price,qty,sl_orig,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi,adx,htf,size_mult,duracion_min,be_hit,dd_al_entrar
2025-06-13 08:10:00+00:00,2025-06-13 09:15:00+00:00,8,Friday,SHORT,105345.16443,104532.56664144302,0.01435210497539647,105580.32157285715,104522.11443000002,34.9875,1.6567,33.3308,WIN,333.3308,84.1,62.54,BEARISH,0.5,65.0,True,0.0
2025-06-13 15:10:00+00:00,2025-06-13 16:10:00+00:00,15,Friday,SHORT,105428.75607,105765.44132525014,0.021597305961068604,105776.01892714285,104213.33607,-21.8145,2.5087,-24.3232,LOSS,309.0076,70.2,16.75,BEARISH,1.0,60.0,False,0.0
2025-06-16 22:40:00+00:00,2025-06-16 22:45:00+00:00,22,Monday,LONG,107426.54158,107437.284234158,0.027854296389264822,107176.93300857143,108300.17158000001,-0.5985,3.2917,-3.8901,BE,305.1175,20.77,18.53,BULLISH,1.0,5.0,True,-7.3
2025-06-17 19:15:00+00:00,2025-06-17 19:20:00+00:00,19,Tuesday,SHORT,104959.40301,105183.08936341328,0.014656224217286505,105193.6087242857,104139.68301000001,-9.8352,1.6939,-11.5291,LOSS,293.5883,79.07,29.0,BEARISH,0.5,5.0,False,-8.46
2025-06-17 19:20:00+00:00,2025-06-17 19:25:00+00:00,19,Tuesday,SHORT,105275.27142,105264.74389285801,0.013458652558199282,105520.67999142858,104416.34142000001,-0.2834,1.5585,-1.8418,BE,291.7465,86.12,30.73,BEARISH,0.5,5.0,True,-8.46
2025-06-18 14:20:00+00:00,2025-06-18 17:30:00+00:00,14,Wednesday,SHORT,105142.4847,103878.86154746999,0.006762614394699427,105506.48755714286,103868.47469999999,25.6362,0.7774,24.8587,WIN,316.6052,79.06,53.53,BEARISH,0.375,190.0,True,-12.48
2025-06-18 20:45:00+00:00,2025-06-18 21:30:00+00:00,20,Wednesday,SHORT,104800.11894,104789.638928106,0.03193056442069201,105023.21608285714,104019.27894,-0.6693,3.6808,-4.35,BE,312.2552,70.88,18.65,BEARISH,1.0,45.0,True,-5.02
2025-06-23 14:00:00+00:00,2025-06-23 16:15:00+00:00,14,Monday,SHORT,102384.96048,100986.16808704799,0.008726762271936294,102787.50047999999,100976.07048,36.6208,0.9761,35.6447,WIN,347.8999,68.46,26.77,BEARISH,0.5,135.0,True,-6.32
2025-06-25 15:30:00+00:00,2025-06-25 15:35:00+00:00,15,Wednesday,LONG,106760.57499,106771.251047499,0.015388870149903592,106506.24356142856,107650.73499,-0.3286,1.8073,-2.1359,BE,345.764,25.46,36.8,BULLISH,0.5,5.0,True,0.0
2025-07-03 12:45:00+00:00,2025-07-03 12:50:00+00:00,12,Thursday,LONG,108717.8707,108728.74248707,0.017060080310770394,108489.86212857143,109515.9007,-0.3709,2.0403,-2.4113,BE,343.3527,16.08,25.39,BULLISH,0.5,5.0,True,-0.61
